163,sh000865,上海国企,1215.2450,-2.413,-0.198,1217.6582,1215.5908,1216.4442,1206.7737,6165229,5906561973
164,sh000867,港中小企,2410.9203,17.359,0.725,2393.5618,2385.2007,2410.9203,2353.0773,17098737,5188087007
165,sh000869,HK银行,2644.0922,19.425,0.740,2624.6671,2585.5861,2648.8048,2557.7250,4224235,2659917392
166,sh000891,新兴综指,1425.1187,21.042,1.499,1404.0763,1403.6644,1425.3054,1398.4174,132806924,202741618273
167,sh000901,小康指数,5131.1610,58.946,1.162,5072.2153,5066.7647,5131.8360,5040.1586,30541601,34554110317
168,sh000903,中证100,3747.5147,12.416,0.332,3735.0988,3728.9357,3748.7016,3697.2080,29989677,60382713708
169,sh000905,中证500,5929.0277,64.561,1.101,5864.4669,5861.5504,5929.3542,5848.1461,56596257,68968154378
170,sh000906,中证800,4219.1776,16.496,0.393,4202.6813,4196.6474,4219.7441,4167.4332,121313399,186163148231
171,sh000913,300医药,10667.3977,27.998,0.263,10639.3995,10647.2017,10733.3981,10536.3816,3733981,12009033067
172,sh000914,300金融,5207.4773,-14.175,-0.271,5221.6526,5196.4979,5208.5058,5125.1478,20576500,23010881715
173,sh000928,中证能源,2390.9268,14.219,0.598,2376.7076,2372.3214,2392.8334,2364.3072,4012986,3268410744
174,sh000932,中证消费,21220.0207,-353.130,-1.637,21573.1508,21538.3341,21568.6616,21056.6525,3988206,17472465200
175,sh000933,中证医药,10358.3152,78.220,0.761,10280.0950,10296.6228,10388.1177,10235.8970,9029872,24598296537
176,sh000934,中证金融,4902.0016,-8.493,-0.173,4910.4946,4888.4743,4902.9293,4825.2877,28977810,27834463919
177,sh000935,中证信息,3823.9017,62.213,1.654,3761.6891,3759.2436,3824.3318,3738.8419,9018110,22101446286
178,sh000974,800金融,5184.7146,-22.712,-0.436,5207.4270,5180.1549,5186.1556,5106.7706,23297256,22626593238
179,sh000982,500等权,7171.3785,77.260,1.089,7094.1190,7093.0343,7171.7161,7079.4021,56596257,68968154378
180,sh000986,全指能源,2079.5442,11.496,0.556,2068.0479,2065.0988,2080.6998,2057.3687,6865305,5305928818
181,sh000987,全指材料,3620.4983,28.842,0.803,3591.6565,3589.5270,3621.0289,3576.6412,33844170,39229750882
182,sh000989,全指可选,4689.2631,16.054,0.344,4673.2094,4671.3864,4689.9732,4635.8610,33311572,37405866504
183,sh000991,全指医药,11068.3812,141.723,1.297,10926.6584,10967.6546,11095.0152,10938.0816,32060003,53603714995
184,sh000992,全指金融,4714.2494,-5.280,-0.112,4719.5293,4699.5665,4715.0052,4641.8219,36372595,32544680744
185,sh000993,全指信息,5033.8293,105.811,2.147,4928.0184,4926.6416,5034.0584,4906.4874,36087981,56516097725
186,sz399001,深证成指,11076.6370,60.651,0.551,11015.9860,11003.0470,11079.3090,10921.4190,24415723797,276375231839
187,sz399002,深成指R,14082.7630,77.111,0.551,14005.6520,13989.2020,14086.1600,13885.4210,6053990682,111391337120
188,sz399003,成份Ｂ指,7856.6130,32.831,0.420,7823.7820,7825.5690,7856.6130,7802.1810,2511228,13938731
189,sz399004,深证100R,6779.0510,2.283,0.034,6776.7680,6762.3220,6781.3590,6691.0850,1752609587,51181406183
190,sz399005,中小100,7391.6490,51.314,0.699,7340.3350,7327.5670,7393.0760,7266.4650,1604346854,33810660674
191,sz399006,创业板指,2347.5260,0.759,0.032,2346.7670,2339.9810,2349.4510,2312.3090,5567108412,89040681815
192,sz399007,深证300,4736.4700,16.642,0.353,4719.8280,4712.5990,4737.7380,4672.1870,4210218727,89695897320
193,sz399008,中小300,1425.8750,13.710,0.971,1412.1650,1411.2480,1426.0510,1402.6980,3837542264,57645093058
194,sz399009,深证200,3990.7190,41.680,1.055,3949.0390,3948.2110,3991.1520,3930.3570,2457609140,38514491137
195,sz399010,深证700,6733.4980,127.303,1.927,6606.1950,6614.0110,6733.5170,6603.0610,6756739489,71729175231
196,sz399011,深证1000,5302.8890,43.033,0.818,5259.8560,5256.0210,5303.7690,5225.1270,10966958216,161425072551
197,sz399012,创业300,3253.9210,22.482,0.696,3231.4390,3225.1870,3255.8230,3198.0380,2117271312,50415165642
198,sz399013,深市精选,4814.7900,38.135,0.798,4776.6550,4774.9920,4815.1310,4749.6580,6095027948,95496695711
199,sz399015,中小创新,2275.7610,46.155,2.070,2229.6060,2232.6290,2275.7810,2229.1480,4912967534,50033735430
200,sz399016,深证创新,4029.908,76.299,1.930,3953.609,3948.941,4029.908,3933.289,978887271,30259825569
201,sz399017,SME创新,3399.450,61.914,1.855,3337.536,3339.612,3399.450,3327.810,882926448,23718971038
202,sz399018,创业创新,4003.925,74.032,1.884,3929.893,3927.135,4003.925,3914.549,616614419,21869412661
203,sz399030,碳科技30,3983.621,31.916,0.808,3951.705,3939.341,3989.817,3886.086,186504317,12208624695
204,sz399050,创新引擎,2685.182,24.646,0.926,2660.536,2657.990,2685.279,2641.181,632163312,12956485950
205,sz399060,碳科技60,2884.057,14.817,0.516,2869.240,2863.419,2886.427,2831.117,663979457,25213200630
206,sz399088,深创100,3496.567,23.036,0.663,3473.531,3469.269,3498.039,3441.992,1278275603,41604120320
207,sz399100,新指数,9244.806,84.265,0.920,9160.541,9156.707,9245.422,9118.336,23443381651,272970665808
208,sz399101,中小综指,11740.752,125.425,1.080,11615.327,11610.350,11741.744,11566.900,11416213931,121201489571
209,sz399102,创业板综,2714.242,27.478,1.023,2686.764,2684.167,2715.316,2669.418,5567108412,89040681815
